,Crack_Spread,Crack_Z_Score,Basket_Return,SPY_Return,Rolling_Beta,Beta_Hedged_Return,VLO_Hedged_Return,MPC_Hedged_Return,PSX_Hedged_Return,DINO_Hedged_Return,PBF_Hedged_Return,DK_Hedged_Return,CVI_Hedged_Return
2016-12-12,13.421998739242554,-0.3534246084822338,-0.008599319066507283,-0.0011477541134592428,1.8914391913024131,-0.006428411954331915,-0.015260360805086004,-0.004576467762720455,0.0029162661056046095,-0.018589592310880858,0.0076152729378555235,-0.007078320138316812,-0.007323194953406031
2016-12-13,13.633198976516724,-0.27215661881724373,0.0069301913858298815,0.0066739578531287425,1.8764611393245647,-0.005593231171056204,-0.006354267650783266,-0.01128952226152428,0.0022750242243039084,-0.004502126186448232,-0.019095904178422742,0.012775806546506369,-0.019696444976293068
2016-12-14,14.470599889755249,0.05216099317285015,-0.02619643939051965,-0.008254239731608215,1.9146352292592201,-0.01039258120963139,0.0040996021843037155,0.0009524195498861535,-0.009984238399450014,-0.015378006649735858,-0.06590268208242595,-0.019955310526560546,-0.06657653495786889
2016-12-15,14.81920051574707,0.18787969884528757,0.010320658493945489,0.004117120395706886,2.005238986084744,0.0020648481660693937,0.009553994369396038,0.0005275429046615772,-0.003323923240334976,-0.004318327327007838,0.01616629667233302,-0.0038758081886594194,0.003855059323116746
2016-12-16,14.748200416564941,0.16116881793313986,0.010011166929453624,-0.0019558279015663427,2.0306338746716563,0.013982737319402222,0.009065619798616472,0.029495100522567177,0.012700511639609549,0.00500405071362872,0.005440568289040264,0.010052286926231432,-0.002152370058450687
2016-12-19,14.810598134994507,0.1848202539176098,-0.00819722662631347,0.0021775141720616897,2.0390119126393884,-0.01263720396308835,-0.012300276173415933,-0.018171504803484916,-0.0060014451182220235,-0.023497434435336896,-0.008682253594137889,-0.013214722765023184,-0.0014861035563177652
2016-12-20,15.321402072906501,0.38051840667533543,-0.0012246839718741687,0.0038577534426231797,1.990600475373175,-0.008903929808632373,-0.005431174474604791,-0.009614783335712581,-0.007498625258033468,0.0003495041428578458,-0.02511145832393087,-0.027160626713386114,-0.013782604079291966
2016-12-21,15.191600799560554,0.3285268994595979,0.0017617691067936593,-0.0027828425023863623,2.0027320992944144,0.00733505711360362,0.010485050257035862,-0.0017775595031984705,0.0017290982955225748,0.019081460702402037,0.01371111162143986,0.030045516070833334,0.012598647928195336
2016-12-22,14.880399942398071,0.2076333045270439,0.02168677661826958,-0.0017271727706643647,1.9645953232080238,0.025079972165889034,0.014839063392946742,0.03125834406708413,0.011119000282849857,0.027562585625265035,0.0328712982939702,0.01609632050748276,0.11142461455139394
2016-12-23,15.4423987865448,0.42545820964637965,0.006882905998049093,0.0014639402096989773,1.788924472682185,0.004264027530375103,0.0011668242783183075,0.006017420470481913,0.000128279038079566,0.012195393810080222,0.010469705381244605,0.014943968765909234,-0.0010865300942111437
2016-12-27,15.680002212524414,0.5150345100881425,0.0052479213665096005,0.00248112183947069,1.7590661682771291,0.0008834638793231908,0.0032552988976050187,0.002126797732962809,-0.0025804676315100213,0.0066307393452072925,0.0014241292675472566,0.0002476206334082213,-0.011272096000195275
2016-12-28,15.836401462554932,0.5706514147808613,-0.00871462346365285,-0.008264595140204722,1.7467895321304674,0.005721884814553092,0.0016484722707908028,4.269984377441166e-05,0.002225280419871096,0.008655593995851349,0.013557766290166678,0.018476601356435807,0.045509877980575125
2016-12-29,16.15359902381897,0.6889086276414516,-0.001113546741456095,-0.00022264900333657245,1.8069169603825106,-0.0007112384811149801,-0.00022102079052818121,0.00281496108318534,-0.005145676511178381,-0.0019206316860296273,-0.009250997942003817,-0.009064736600608294,0.020690909384977873
2016-12-30,16.121201753616333,0.6712288148580846,-0.0023980702930010925,-0.0036550297267557985,1.777778530204915,0.004099763082486103,0.0013465774963621743,0.004973974799173075,0.001238538195944214,-0.004210676021636033,0.019227001324861236,-0.01070135422574445,0.04409551413648003
2017-01-03,20.574202299118042,2.363340479838053,0.02649851477257685,0.007650050719922419,1.8169855466927043,0.012598483183011698,0.018017288451212792,0.035681102040219244,-0.003860331234482277,0.008141308684055125,0.005220046104089382,0.028103309425810623,-0.046826605522525176
2017-01-04,20.464599609375,2.2874510991159918,-0.016217347950360464,0.005949085918189878,1.707156831837201,-0.0263733706187848,-0.04489767716541106,-0.04314140930819579,-0.000960783910932011,0.009391008195012337,-0.05870443698437837,-0.025985214449331724,-0.01656042540931639
2017-01-05,19.95319700241089,2.0663193489583374,-0.008233492827717953,-0.0007942769006992201,1.705784381845255,-0.006878627695644769,-0.0018888488990842778,-0.002217657070402267,-0.005113741513540089,-0.014380554722351477,-0.04836463466558982,0.016507361660605974,-0.030852934048075414
2017-01-06,20.02219963073732,2.0656792556794006,-0.021177265450096745,0.003577750780369149,1.7037856918919911,-0.027272986038845107,-0.020572828837817123,-0.020218925351366202,-0.019274127393092158,-0.05870081766237826,-0.029642907826719026,-0.04259264888374998,-0.05549312083029929
2017-01-09,19.44399976730348,1.8540955541272501,-0.01810765605669001,-0.0033011527977153676,1.743655296061444,-0.012351583497845556,0.0007424850411042678,-0.011582646420441782,-0.01251378565023532,-0.026249349534406434,-0.030049667809827506,-0.01991233767608011,-0.02780123025432644
2017-01-10,19.57980251312255,1.9081070704949745,-0.0021918343091019586,0.0,1.7439332432013184,-0.0021918343091019586,0.0024106448990623974,-0.009906343452687816,-0.003094359142564951,-0.007754595210012538,-0.0012384766587414386,0.01049084145466006,0.015370427923019125
2017-01-11,19.97300124168396,2.0477980975851713,0.011285364281919957,0.00282635543667209,1.7491170024261307,0.006341737932737274,0.0038757073378502486,0.008472229833516347,0.010366361241877458,0.005266300196327869,-0.002525562514018219,-0.0077259872782126345,0.01298221598810033
2017-01-12,19.989597320556655,2.0463809389087584,-0.009800110836938249,-0.0025099045587234636,1.7851122837647133,-0.005319649378083942,-0.004339035846821781,-0.003166075838569477,-0.003671170648859949,-0.010819564913163509,-0.013328142873807822,-0.01672518230252961,0.001180879112241684
2017-01-13,20.360600233078003,2.1708356276331093,-0.010825898526778371,0.0022953525216304893,1.7615959273908144,-0.014869382180808879,-0.005516821673293615,-0.02222436259415242,-0.015001626033045137,-0.0218747388168861,-0.008482959953812985,-0.02174134951809483,-0.009699805008041676
2017-01-17,20.132199287414544,2.077221049355765,0.005083045357561356,-0.0035236077359334095,1.7503753489272555,0.011250681477828574,0.002527903168905981,0.014121433728367027,0.007091313593121932,0.008193331585335837,0.041754840771005636,0.01570622462790718,0.03246264853501227
